Type,none,business,social,family,romantic
Barking and Dagenham,1206,2,44,0,0
Barnet,12272,399,29,104,108
Bexley,1077,94,0,0,0
Brent,31559,305,620,800,239
Bromley,5018,37,62,77,42
Camden,81555,2429,5585,3192,939
City of London,5960,667,0,53,124
Croydon,6940,30,275,122,0
Ealing,22930,99,115,637,1
Enfield,4945,285,10,0,0
Greenwich,15821,567,34,144,10
Hackney,56742,3393,3747,1196,699
Hammersmith and Fulham,47502,4091,2480,1671,660
Haringey,22730,810,1181,742,50
Harrow,4076,176,204,2,0
Havering,1179,0,30,0,0
Hillingdon,8311,93,413,6,0
Hounslow,11968,711,199,487,2
Islington,61190,2801,1859,2219,1153
Kensington and Chelsea,66126,2260,931,2246,1336
Kingston upon Thames,4937,291,4,122,0
Lambeth,76615,2998,3428,1180,902
Lewisham,21469,742,715,225,62
Merton,9395,143,190,27,150
Newham,20607,230,733,538,3
Redbridge,5832,71,18,338,0
Richmond upon Thames,16513,586,301,306,210
Southwark,67007,1691,2709,1253,427
Sutton,3013,174,0,0,79
Tower Hamlets,92710,4160,3159,619,422
Waltham Forest,9960,933,1073,40,0
Wandsworth,39978,1580,793,1200,444
Westminster,113085,3461,980,1842,667
